USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Route01440652_V1-0028.mov,,,UPLOADED,0:15:00,BOB,ventana rota,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route03497541_V1-0029.mov,,,UPLOADED,0:25:00,BOB,Lavarropas.,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01430206_V1-0030.mov,,,UPLOADED,0:15:00,ALICE,cables con plantas close up,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01427078_V1-0031.mov,,,UPLOADED,0:15:00,ALICE,cables en la tierra close up,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route03474384_V1-0032.mov,,,UPLOADED,0:15:00,ALICE,Cartel KPN. Midpoint Abandonado.,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
,TOTAL TIME,,,,9:29:12,,,,,,,,,,,,,,,,,,
Y,Lab00521758_V1-0025.mov,,,UPLOADED,0:17:17,BOB,pressure clock,clock,pressure,Bounderies,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab01393740_V1-0026.mov,,,UPLOADED,0:23:00,ALICE,laminal flow clock,clock,pressure,Bounderies,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00525452_V1-0028.mov,,,UPLOADED,0:32:00,ALICE,pressure machine,landscape,pressure,Bounderies,Prep,Panning,Light,-,can't fix panning movement,,,,,MILD,,,
Y,Lab00532086_V1-0029.mov,,,UPLOADED,0:40:07,BOB,pressure machine,landscape,pressure,Bounderies,Prep,Panning,Light,-,,,,,,MILD,,,
Y,Lab00437574_V1-0030.mov,,,UPLOADED,0:07:17,BOB,explosion close up,landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00441059_V1-0012.mov,,MOVED,UPLOADED,0:22:20,BOB,close up ice melting,landscape,pressure,Nitrogen,Prep,Still,Light,Red,,,,,,MILD,,,
Y,Lab00442865_V1-0013.mov,,MOVED,UPLOADED,1:09:14,BOB,close up ice melting,landscape,pressure,Nitrogen,Prep,Still,Light,Red,,,,,,MILD,,,
Y,Lab00449830_V1-0015.mov,,MOVED,UPLOADED,0:28:06,BOB,melting ice on pipe,landscape,pressure,Nitrogen,Prep,Panning,Semi,-,,,,,,MILD,,,
Y,Lab00551600_V1-0010.mov,,MOVED,UPLOADED,0:31:23,ALICE,nitrogeno en el piso,landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
